Gene	B cells	T cells CD4	T cells CD8	T cells follicular helper
AC097468.4	14.46961705	14.53863108	18.93560674	20.90736578
AC097662.2	17.41551747	15.75620263	26.09967044	17.38579365
AC099342.1	12.6754153	18.67655787	15.94818424	11.66052935
AC104134.2	30.69780987	29.20231547	33.36787225	25.5132159
AC104653.1	116.9642766	37.54849474	38.17950972	81.73051472
AC104654.1	18.74555176	37.93922112	36.91946818	16.3892877
AC104777.2	22.03006213	24.01373904	23.02760794	20.25838929
AC105053.3	10.10003817	13.46713998	14.58652159	9.709517887
AC105339.1	33.09212235	37.13303084	33.31182888	32.2086965
AC105760.3	9.300853039	9.006733691	8.285345299	8.829037963
AC107070.1	35.63085406	34.29189314	39.88511342	30.48812836
AC107622.1	10.23169086	9.676051056	9.158494247	8.919115644
AC109828.1	25.03739577	22.43091076	22.75052919	20.3098874
AC125421.1	18.67308855	25.74021109	37.19021752	21.02336433
AC136896.1	44.79716544	48.09990708	42.91764751	38.86953126
AC147651.4	72.84485337	80.25860917	76.64640609	89.9346435
ACAA1	584.4025909	572.9735472	578.6304056	483.3664258
ACAA2	80.45531261	78.64843433	86.42302541	71.06961913
ACACA	129.1986746	127.0255637	158.0223189	154.554083
ACACB	76.07233925	89.4311191	87.38453232	65.71298238
ACAD10	50.98972961	57.15017183	58.50913595	51.80752991
ACAD8	147.8867814	142.454779	129.7585041	219.3915814
ACAD9	165.8459555	148.5643278	154.0893207	151.1388881
ACADL	10.17345239	11.8088517	11.14120212	10.39261784
ACADM	1171.531001	627.7350953	538.3773834	535.292353
ACADS	87.41348717	115.0632002	124.4828437	111.627612
ACADSB	107.1970324	128.3224838	118.8897382	109.8935745
ACADVL	216.3648195	701.8262612	817.8768315	998.5169558
ACAN	41.59422763	41.0153308	46.96952055	42.02347584
ACAP1	134.8106841	368.5428011	378.5513016	450.8481043
ACAP2	565.2051316	256.3915849	240.8659533	254.4363913
ACAP3	45.69507762	61.13057745	54.03483236	120.318194
ACAT1	139.2944486	98.28846856	103.3417446	114.5734944
ACAT2	345.2615207	330.0096261	277.2603766	317.4122754
